Thread ID: 70174741057220
Total: 664.733650

 %self     total     self     wait    child    calls  name
  0.05      0.35     0.35     0.00     0.00   161960  Arel::Visitors::ToSql#visit_Arel_Nodes_Top (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/arel-2.2.1/lib/arel/visitors/to_sql.rb:199}
  0.05      0.46     0.35     0.00     0.11    60332  #<Module:0x007fa5a9e48490>#_alert (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/attribute_methods/read.rb:89}
  0.05      0.35     0.35     0.00     0.00   195905  Fixnum#to_s (ruby_runtime:0}
  0.05      4.08     0.35     0.00     3.73    30555  ActiveRecord::ConnectionAdapters::DatabaseStatements#commit_transaction_records (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/connection_adapters/abstract/database_statements.rb:391}
  0.05      0.35     0.35     0.00     0.00   354098  Method#owner (ruby_runtime:0}
  0.05    148.58     0.34     0.00   148.23    30557  ActiveRecord::Transactions#with_transaction_returning_status (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/transactions.rb:291}
  0.05      2.25     0.34     0.00     1.91    30553  ActiveRecord::Locking::Optimistic#attributes_from_column_definition (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/locking/optimistic.rb:68}
  0.05      0.51     0.34     0.00     0.17    30483  ActiveRecord::Persistence#persisted? (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/persistence.rb:17}
  0.05     37.84     0.34     0.00    37.50    30553  ActiveRecord::ConnectionAdapters::DatabaseStatements#insert (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/connection_adapters/abstract/database_statements.rb:88}
  0.05      6.27     0.34     0.00     5.94    61106  ActiveModel::AttributeMethods#match_attribute_method? (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activemodel-3.1.3/lib/active_model/attribute_methods.rb:413}
  0.05      0.34     0.34     0.00     0.00   161965  Arel::Nodes::JoinSource#empty? (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/arel-2.2.1/lib/arel/nodes/join_source.rb:13}
  0.05      0.65     0.33     0.00     0.32    61398  Object#acts_like? (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activesupport-3.1.3/lib/active_support/core_ext/object/acts_like.rb:7}
  0.05      0.50     0.33     0.00     0.17   122800  <Class::ActiveRecord::ConnectionAdapters::Column>#string_to_time (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/connection_adapters/column.rb:142}
  0.05      0.41     0.33     0.00     0.08    30555  ActiveRecord::Base#_run_commit_callbacks (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activesupport-3.1.3/lib/active_support/callbacks.rb:378}
  0.05      0.51     0.33     0.00     0.18    36875  Nokogiri::XML::Node#coerce (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/nokogiri-1.4.7/lib/nokogiri/xml/node.rb:867}
  0.05      0.46     0.33     0.00     0.13    61038  ActiveRecord::Base#execute_callstack_for_multiparameter_attributes (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/base.rb:2021}
  0.05      0.74     0.33     0.00     0.41    60968  ActiveRecord::Associations::CollectionAssociation#reader (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/associations/collection_association.rb:29}
  0.05      0.33     0.33     0.00     0.00   161645  ActiveRecord::DynamicFinderMatch#finder? (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/dynamic_finder_match.rb:40}
  0.05      0.48     0.33     0.00     0.16    80150  <Class::ActiveRecord::Base>#find_sti_class (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/base.rb:985}
  0.05     19.83     0.32     0.00    19.51    30555  SQLite3::Database#commit (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/sqlite3-1.3.5/lib/sqlite3/database.rb:505}
  0.05      0.32     0.32     0.00     0.00   324696  Module#== (ruby_runtime:0}
  0.05    133.93     0.32     0.00   133.61    30240  ActiveRecord::Validations#save (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/validations.rb:49}
  0.05      0.41     0.32     0.00     0.09    45255  #<Module:0x007fa5a9dfe908>#_mean (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/attribute_methods/read.rb:89}
  0.05      0.32     0.32     0.00     0.00   227526  Fixnum#to_f (ruby_runtime:0}
  0.05      0.32     0.32     0.00     0.00   136880  ActiveRecord::Persistence#new_record? (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/persistence.rb:6}
  0.05      1.32     0.31     0.00     1.01    62326  ActiveModel::MassAssignmentSecurity::PermissionSet#include? (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activemodel-3.1.3/lib/active_model/mass_assignment_security/permission_set.rb:13}
  0.05      0.31     0.31     0.00     0.00   161645  ActiveRecord::DynamicFinderMatch#bang? (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/dynamic_finder_match.rb:52}
  0.05      0.31     0.31     0.00     0.00    62413  Hash#initialize (ruby_runtime:0}
  0.05     66.63     0.31     0.00    66.32    30483  ActiveRecord::Associations::Association#build_record (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/associations/association.rb:233}
  0.05      0.30     0.30     0.00     0.00   247657  Fixnum#divmod (ruby_runtime:0}
  0.05      0.30     0.30     0.00     0.00   211230  Array#first (ruby_runtime:0}
  0.04      0.99     0.30     0.00     0.69    15113  ActiveRecord::SpawnMethods#apply_finder_options (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/relation/spawn_methods.rb:119}
  0.04      0.45     0.29     0.00     0.16    75565  ActiveRecord::Associations::AssociationScope#options (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/associations/association_scope.rb:8}
  0.04      2.42     0.29     0.00     2.13    15083  Object#crunch_word_stats (/Users/francis/seer/ssri-seer/core.rb:125}
  0.04      1.12     0.29     0.00     0.82    61038  ActiveRecord::Base#assign_multiparameter_attributes (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/base.rb:2007}
  0.04      0.29     0.29     0.00     0.00   223121  SQLite3::Statement#column_count (ruby_runtime:0}
  0.04      1.99     0.29     0.00     1.70    30895  Hash#reject (ruby_runtime:0}
  0.04     11.86     0.29     0.00    11.57    60968  ActiveRecord::Associations::Association#association_scope (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/associations/association.rb:97}
  0.04      0.36     0.29     0.00     0.08    61038  ActiveRecord::Base#extract_callstack_for_multiparameter_attributes (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/base.rb:2081}
  0.04      0.28     0.28     0.00     0.00   236197  Array#[]= (ruby_runtime:0}
  0.04      0.28     0.28     0.00     0.00    76079  ActiveRecord::Associations::Association#options (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/associations/association.rb:23}
  0.04      0.37     0.28     0.00     0.08    61106  ActiveRecord::AttributeMethods#attribute_method? (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/attribute_methods.rb:70}
  0.04      4.12     0.28     0.00     3.84    30555  SQLite3::Database#transaction (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/sqlite3-1.3.5/lib/sqlite3/database.rb:483}
  0.04    127.71     0.28     0.00   127.43    30555  ActiveRecord::Callbacks#create_or_update (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/callbacks.rb:263}
  0.04    263.16     0.28     0.00   262.87    30483  ActiveRecord::Associations::CollectionAssociation#transaction (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/associations/collection_association.rb:145}
  0.04      0.42     0.28     0.00     0.14    60856  Array#eql? (ruby_runtime:0}
  0.04     22.40     0.28     0.00    22.11    30555  ActiveRecord::Base#arel_attributes_values (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/base.rb:1969}
  0.04      0.37     0.28     0.00     0.09    45249  #<Module:0x007fa5a9e48490>#_category_id (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/attribute_methods/read.rb:89}
  0.04      0.37     0.28     0.00     0.09    45255  #<Module:0x007fa5a9dfe908>#_statable_id (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/attribute_methods/read.rb:89}
  0.04      0.51     0.27     0.00     0.24    30603  Nokogiri::XML::Node#add_previous_sibling_node (ruby_runtime:0}
  0.04      7.18     0.27     0.00     7.08    25232  Integer#upto (ruby_runtime:0}
  0.04    160.08     0.27     0.00   159.81    30483  ActiveRecord::Associations::HasManyAssociation#insert_record (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/associations/has_many_association.rb:10}
  0.04      0.55     0.27     0.00     0.29    61040  ActiveModel::Dirty#changed (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activemodel-3.1.3/lib/active_model/dirty.rb:108}
  0.04      1.52     0.26     0.00     1.25    60966  ActiveRecord::Associations::CollectionAssociation#callback (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/associations/collection_association.rb:465}
  0.04      0.41     0.26     0.00     0.15    60968  ActiveRecord::Associations::Association#stale_target? (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/associations/association.rb:77}
  0.04      0.74     0.26     0.00     0.47    62326  ActiveModel::MassAssignmentSecurity::PermissionSet#remove_multiparameter_id (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activemodel-3.1.3/lib/active_model/mass_assignment_security/permission_set.rb:19}
  0.04      0.26     0.26     0.00     0.00   161997  Array#concat (ruby_runtime:0}
  0.04      2.24     0.26     0.00     1.98    16849  Nokogiri::XML::Node#write_to (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/nokogiri-1.4.7/lib/nokogiri/xml/node.rb:789}
  0.04      2.76     0.26     0.00     2.50    16849  Nokogiri::XML::Node#serialize (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/nokogiri-1.4.7/lib/nokogiri/xml/node.rb:715}
  0.04      0.30     0.26     0.00     0.04    30555  ActiveRecord::Base#record_timestamps (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activesupport-3.1.3/lib/active_support/core_ext/class/attribute.rb:97}
  0.04      0.34     0.26     0.00     0.08    45255  #<Module:0x007fa5a9dfe908>#_presence (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/attribute_methods/read.rb:89}
  0.04      2.62     0.26     0.00     2.36    30483  ActiveRecord::Relation#where_values_hash (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/relation.rb:400}
  0.04      0.35     0.26     0.00     0.09    45568  ActiveRecord::Relation#table_name (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/relation.rb:15}
  0.04      0.44     0.26     0.00     0.19    61398  Time#usec (ruby_runtime:0}
  0.04      6.07     0.26     0.00     5.81    30555  ActiveModel::Dirty#changes (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activemodel-3.1.3/lib/active_model/dirty.rb:116}
  0.04      0.33     0.25     0.00     0.08    45255  #<Module:0x007fa5a9dfe908>#_sd (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/attribute_methods/read.rb:89}
  0.04      0.25     0.25     0.00     0.00   136459  Nokogiri::XML::Document#decorate (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/nokogiri-1.4.7/lib/nokogiri/xml/document.rb:170}
  0.04      0.31     0.25     0.00     0.06    69875  SAXMachine::SAXHandler#characters (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/sax-machine-0.0.20/lib/sax-machine/sax_handler.rb:14}
  0.04      1.18     0.25     0.00     0.94    91665  ActiveModel::Validations#errors (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activemodel-3.1.3/lib/active_model/validations.rb:169}
  0.04      0.40     0.24     0.00     0.16    60797  ActiveRecord::Base#has_attribute? (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/base.rb:1667}
  0.04      0.44     0.24     0.00     0.20    30553  ActiveRecord::Timestamp#all_timestamp_attributes (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/timestamp.rb:91}
  0.04      3.24     0.24     0.00     3.00    30555  ActiveModel::Validations#run_validations! (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activemodel-3.1.3/lib/active_model/validations.rb:211}
  0.04      0.29     0.24     0.00     0.05    45249  #<Module:0x007fa5a9e48490>#_name (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/attribute_methods/read.rb:89}
  0.04      0.24     0.24     0.00     0.00   131496  <Class::Blacklist(id: integer, word: string, created_at: datetime, updated_at: datetime)>#locking_column (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activemodel-3.1.3/lib/active_model/attribute_methods.rb:116}
  0.04      0.24     0.24     0.00     0.00   162124  Array#index (ruby_runtime:0}
  0.04      0.47     0.24     0.00     0.23    61106  <Class::ActiveModel::AttributeMethods::ClassMethods::AttributeMethodMatcher::AttributeMethodMatch>#new (ruby_runtime:0}
  0.04      0.24     0.24     0.00     0.00   201700  Kernel#object_id (ruby_runtime:0}
  0.04      0.77     0.24     0.00     0.53    45668  <Class::ActiveRecord::Base>#unscoped (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/base.rb:941}
  0.04      0.23     0.23     0.00     0.00   161999  Array#to_a (ruby_runtime:0}
  0.03      2.89     0.23     0.00     2.66    30557  ActiveRecord::Transactions#add_to_transaction (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/transactions.rb:279}
  0.03      0.28     0.23     0.00     0.05    45255  #<Module:0x007fa5a9dfe908>#_statable_type (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/attribute_methods/read.rb:89}
  0.03      0.95     0.23     0.00     0.73    30555  ActiveRecord::Timestamp#current_time_from_proper_timezone (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/timestamp.rb:95}
  0.03      0.54     0.22     0.00     0.32    30555  ActiveModel::MassAssignmentSecurity::Sanitizer#debug_protected_attribute_removal (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activemodel-3.1.3/lib/active_model/mass_assignment_security/sanitizer.rb:13}
  0.03      0.22     0.22     0.00     0.00    91595  ActiveRecord::ConnectionAdapters::AbstractAdapter#open_transactions (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/connection_adapters/abstract_adapter.rb:202}
  0.03      5.16     0.22     0.00     5.10    51516  Proc#call (ruby_runtime:0}
  0.03    126.60     0.22     0.00   126.38    30240  ActiveRecord::Persistence#save (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/persistence.rb:35}
  0.03      0.22     0.22     0.00     0.00   121356  Numeric#blank? (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activesupport-3.1.3/lib/active_support/core_ext/object/blank.rb:106}
  0.03      0.50     0.22     0.00     0.28    62115  Enumerable#all? (ruby_runtime:0}
  0.03      0.67     0.21     0.00     0.46    30553  ActiveRecord::NamedScope::ClassMethods#scope_attributes? (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/named_scope.rb:58}
  0.03      0.21     0.21     0.00     0.00   212449  Float#/ (ruby_runtime:0}
  0.03    242.46     0.21     0.00   242.25    76149  Enumerable#each_with_index (ruby_runtime:0}
  0.03      0.97     0.21     0.00     0.76    30553  <Class::ActiveRecord::Base>#column_defaults (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/base.rb:722}
  0.03     64.06     0.21     0.00    63.85    15444  ActiveRecord::Base#_run_create_callbacks (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activesupport-3.1.3/lib/active_support/callbacks.rb:378}
  0.03      0.21     0.21     0.00     0.00   161651  String#eql? (ruby_runtime:0}
  0.03      0.41     0.20     0.00     0.21    45339  ActiveRecord::Associations::AssociationScope#chain (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/associations/association_scope.rb:8}
  0.03      1.72     0.20     0.00     1.51    30553  Arel::Visitors::ToSql#visit_Arel_Nodes_Values (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/arel-2.2.1/lib/arel/visitors/to_sql.rb:116}
  0.03      0.20     0.20     0.00     0.00   198891  String#hash (ruby_runtime:0}
  0.03      0.20     0.20     0.00     0.00   212439  Float#+ (ruby_runtime:0}
  0.03      0.34     0.20     0.00     0.14    30856  <Class::Array>#wrap (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activesupport-3.1.3/lib/active_support/core_ext/array/wrap.rb:39}
  0.03      0.20     0.20     0.00     0.00   137263  Hash#each_key (ruby_runtime:0}
  0.03      1.96     0.20     0.00     1.76    17156  Sanitize::Transformers::CleanElement#call (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/sanitize-2.0.3/lib/sanitize/transformers/clean_element.rb:23}
  0.03      1.16     0.20     0.00     0.96    30603  Nokogiri::XML::Node#add_previous_sibling (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/nokogiri-1.4.7/lib/nokogiri/xml/node.rb:279}
  0.03      0.38     0.20     0.00     0.18    30555  ActiveModel::MassAssignmentSecurity#mass_assignment_authorizer (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activemodel-3.1.3/lib/active_model/mass_assignment_security.rb:212}
  0.03      1.71     0.20     0.00     1.51    30553  ActiveRecord::Persistence#attributes_from_column_definition (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/persistence.rb:326}
  0.03      0.26     0.20     0.00     0.07    61598  ActiveRecord::QueryMethods#apply_modules (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/relation/query_methods.rb:322}
  0.03      1.26     0.20     0.00     1.07    15428  ActiveRecord::Associations::AliasTracker#initial_count_for (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/associations/alias_tracker.rb:50}
  0.03      7.05     0.20     0.00     6.85    30555  ActiveRecord::Validations#perform_validations (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/validations.rb:75}
  0.03      0.90     0.19     0.00     0.70    30553  ActiveRecord::Base#populate_with_current_scope_attributes (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/base.rb:2129}
  0.03      0.19     0.19     0.00     0.00    80152  <Class::ActiveRecord::Base>#inheritance_column (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/base.rb:636}
  0.03    123.34     0.19     0.00   123.14    30553  ActiveRecord::Callbacks#create (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/callbacks.rb:267}
  0.03      0.19     0.19     0.00     0.00   161960  Hash#blank? (ruby_runtime:0}
  0.03      0.28     0.19     0.00     0.08    61110  ActiveModel::Errors#each (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activemodel-3.1.3/lib/active_model/errors.rb:133}
  0.03      0.19     0.19     0.00     0.00   122280  Symbol#to_sym (ruby_runtime:0}
  0.03      0.39     0.19     0.00     0.20    30507  ActiveRecord::AutosaveAssociation#save_belongs_to_association (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/autosave_association.rb:385}
  0.03      0.55     0.19     0.00     0.36    15113  ActiveRecord::Associations::Association#initialize (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/associations/association.rb:26}
  0.03     25.43     0.19     0.00    25.25    30483  ActiveRecord::Associations::CollectionAssociation#create_scope (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/associations/collection_association.rb:440}
  0.03      0.24     0.18     0.00     0.06    61398  <Class::Time>#=== (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activesupport-3.1.3/lib/active_support/core_ext/time/calculations.rb:11}
  0.03      0.18     0.18     0.00     0.00   161970  Kernel#kind_of? (ruby_runtime:0}
  0.03      2.69     0.18     0.00     2.50    30555  ActiveModel::MassAssignmentSecurity::Sanitizer#sanitize (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activemodel-3.1.3/lib/active_model/mass_assignment_security/sanitizer.rb:5}
  0.03      3.24     0.18     0.00     3.06    30555  ActiveModel::MassAssignmentSecurity#sanitize_for_mass_assignment (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activemodel-3.1.3/lib/active_model/mass_assignment_security.rb:208}
  0.03      1.47     0.18     0.00     1.29    60392  ActiveModel::MassAssignmentSecurity::WhiteList#deny? (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activemodel-3.1.3/lib/active_model/mass_assignment_security/permission_set.rb:27}
  0.03      0.18     0.18     0.00     0.00      315  <Class::Nokogiri::HTML::Document>#read_memory (ruby_runtime:0}
  0.03      0.27     0.18     0.00     0.09    80150  Class#allocate (ruby_runtime:0}
  0.03     66.32     0.18     0.00    66.14    30483  ActiveRecord::Reflection::AssociationReflection#build_association (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/reflection.rb:188}
  0.03      0.39     0.18     0.00     0.22    30553  ActiveRecord::Base#ensure_proper_type (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/base.rb:1953}
  0.03      0.55     0.17     0.00     0.37    30553  Arel::InsertManager#initialize (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/arel-2.2.1/lib/arel/insert_manager.rb:3}
  0.03     38.01     0.17     0.00    37.84    30553  ActiveRecord::ConnectionAdapters::AbstractAdapter#insert (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/connection_adapters/abstract/query_cache.rb:12}
  0.03      0.43     0.17     0.00     0.25    15113  ActiveRecord::Associations::AssociationScope#select_value (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/associations/association_scope.rb:38}
  0.03      0.17     0.17     0.00     0.00    30553  SQLite3::Statement#reset! (ruby_runtime:0}
  0.03      0.67     0.17     0.00     0.49    61110  ActiveModel::Errors#empty? (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activemodel-3.1.3/lib/active_model/errors.rb:178}
  0.03      0.26     0.17     0.00     0.09    90510  Float#== (ruby_runtime:0}
  0.03      0.17     0.17     0.00     0.00    91560  Hash#empty? (ruby_runtime:0}
  0.03      0.17     0.17     0.00     0.00   197360  Float#> (ruby_runtime:0}
  0.03      0.22     0.17     0.00     0.05    30557  ActiveRecord::ConnectionAdapters::DatabaseStatements#add_transaction_record (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/connection_adapters/abstract/database_statements.rb:242}
  0.02      0.16     0.16     0.00     0.00   161655  BasicObject#equal? (ruby_runtime:0}
  0.02      0.22     0.16     0.00     0.06    15434  Arel::Table#initialize (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/arel-2.2.1/lib/arel/table.rb:14}
  0.02      0.16     0.16     0.00     0.00    61245  Module#const_defined? (ruby_runtime:0}
  0.02      1.70     0.16     0.00     1.54       24  Nokogiri::XML::SAX::ParserContext#parse_with (ruby_runtime:0}
  0.02    149.53     0.16     0.00   149.37    30240  ActiveRecord::Transactions#save (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/transactions.rb:239}
  0.02      0.62     0.16     0.00     0.46    30485  ActiveRecord::QueryMethods#readonly (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/relation/query_methods.rb:161}
  0.02      0.16     0.16     0.00     0.00    80415  NilClass#blank? (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activesupport-3.1.3/lib/active_support/core_ext/object/blank.rb:45}
  0.02      1.50     0.16     0.00     1.34    30730  Proc#yield (ruby_runtime:0}
  0.02      0.35     0.16     0.00     0.19    60855  BasicObject#!= (ruby_runtime:0}
  0.02      0.26     0.16     0.00     0.10    30555  ActiveRecord::Base#mass_assignment_role (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/base.rb:1922}
  0.02      3.23     0.16     0.00     3.07    30483  ActiveRecord::Relation#scope_for_create (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/relation.rb:408}
  0.02      0.16     0.16     0.00     0.00    61110  Hash#clear (ruby_runtime:0}
  0.02    261.76     0.15     0.00   261.61    30168  ActiveRecord::Associations::CollectionProxy#create (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/associations/collection_proxy.rb:53}
  0.02      0.21     0.15     0.00     0.06    45596  ActiveRecord::Reflection::AssociationReflection#has_inverse? (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/reflection.rb:286}
  0.02      0.18     0.15     0.00     0.03    15444  ActiveRecord::Base#_run_validate_callbacks (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activesupport-3.1.3/lib/active_support/callbacks.rb:378}
  0.02      0.15     0.15     0.00     0.00    60968  ActiveRecord::Associations::Association#loaded? (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/associations/association.rb:61}
  0.02      0.15     0.15     0.00     0.00   122841  Bignum#<=> (ruby_runtime:0}
  0.02      0.20     0.15     0.00     0.05    15113  ActiveRecord::Reflection::AssociationReflection#association_class (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/reflection.rb:331}
  0.02      4.19     0.15     0.00     4.04    30555  ActiveModel::Validations::Callbacks#run_validations! (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activemodel-3.1.3/lib/active_model/validations/callbacks.rb:52}
  0.02      0.15     0.15     0.00     0.00   125292  Kernel#eql? (ruby_runtime:0}
  0.02      0.15     0.15     0.00     0.00   135765  Float#to_f (ruby_runtime:0}
  0.02      0.15     0.15     0.00     0.00    61106  <Class::ActiveModel::AttributeMethods::ClassMethods::AttributeMethodMatcher::AttributeMethodMatch>#allocate (ruby_runtime:0}
